,x,y,command
0,377.1540180066697,505.1475248911469,0
1,378.6868126457197,509.9067832991869,0
2,380.2196072847698,514.6660417072269,0
3,380.9007630515667,516.7809997242528,0
4,381.25436424004675,517.7159506020535,0
5,381.6995382359595,518.6109294050192,0
6,382.2318370078927,519.4569938007913,0
7,382.84594200247176,520.245690193599,0
8,383.535717285587,520.9691381897937,0
9,384.29427085061894,521.6201093361376,0
10,385.11402348109016,522.1920993441188,1
11,385.9867844796913,522.6793930786522,1
12,386.9038335070207,523.0771216618206,1
13,387.8560077123334,523.3813111210922,1
14,388.83379328571687,523.5889220959417,1
15,389.8274205169348,523.6978802061357,1
16,390.82696141114235,523.7070967782536,1
17,391.82242888612893,523.6164797233536,1
18,392.8038765599422,523.4269344570941,1
19,393.7614981318489,523.1403548531205,1
20,394.6857253636502,522.7596043201047,0
21,395.5673236823548,522.2884871915135,0
22,396.39748444897987,521.731710713965,0
23,397.16791297156,521.094838013977,0
24,397.8709113829673,520.3842325130458,0
25,398.49945555545537,519.6069943464418,0
26,399.0472652834219,518.7708894210047,0
27,399.50888013650274,517.8842778484792,0
28,399.90265497378687,516.9653923151418,0
29,400.20608995906866,516.0129774086531,0
30,400.4129261991351,515.0350276583131,1
31,400.53432211304624,513.180284087075,1
32,399.0015274739962,508.42102567903504,1
33,397.46873283494614,503.661767270995,1
34,395.93593819589614,498.9025088629551,1
35,394.4031435568461,494.14325045491506,1
36,392.87034891779604,489.38399204687505,1
37,391.337554278746,484.62473363883504,1
38,389.80475963969593,479.865475230795,1
39,388.27196500064593,475.1062168227551,1
40,386.7391703615959,470.346958414715,0
41,385.20637572254583,465.58770000667505,0
42,383.6735810834958,460.82844159863504,0
43,382.1407864444457,456.069183190595,0
44,380.6079918053957,451.309924782555,0
45,379.0751971663457,446.550666374515,0
46,377.5424025272956,441.79140796647505,0
47,376.00960788824557,437.03214955843504,0
48,374.4768132491955,432.272891150395,0
49,372.9440186101455,427.513632742355,0
50,371.41122397109547,422.754374334315,1
51,369.8784293320454,417.995115926275,1
52,368.34563469299536,413.235857518235,1
53,366.8128400539453,408.476599110195,1
54,365.2800454148953,403.717340702155,1
55,363.74725077584526,398.958082294115,1
56,362.2144561367952,394.198823886075,1
57,360.68166149774515,389.439565478035,1
58,359.1488668586951,384.68030706999497,1
59,357.6160722196451,379.921048661955,1
60,357.0004874055637,378.0096855036821,0
61,356.69316805273513,377.0580790652494,0
62,356.38584563764874,376.1064736148733,0
63,356.0785232225623,375.15486816449726,0
64,355.7712008074759,374.2032627141212,0
65,355.46387839238946,373.2516572637451,0
66,355.15655597730307,372.300051813369,0
67,354.8492335622166,371.34844636299295,0
68,354.54191114713024,370.3968409126169,0
69,354.2345887320438,369.4452354622408,0
70,353.9272663169574,368.49363001186475,1
71,353.61994390187095,367.54202456148863,1
72,353.31262148678456,366.59041911111257,1
73,353.0052990716981,365.6388136607365,1
74,352.69797665661173,364.68720821036044,1
75,352.3906542415253,363.7356027599844,1
76,352.0833318264389,362.78399730960825,1
77,351.77600941135245,361.8323918592322,1
78,351.46868699626606,360.8807864088561,1
79,351.1613645811796,359.92918095848006,1
80,350.8540421660932,358.977575508104,0
81,350.5467197510068,358.02597005772793,0
82,350.2393973359204,357.0743646073518,0
83,349.93207492083394,356.12275915697575,0
84,349.62475250574755,355.1711537065997,0
85,349.3174300906611,354.2195482562236,0
86,349.0101076755747,353.26794280584755,0
87,348.70278526048827,352.31633735547143,0
88,348.3954628454019,351.36473190509537,0
89,348.08814043031543,350.4131264547193,0
90,347.78081801522904,349.46152100434324,1
91,347.4734956001426,348.5099155539672,1
92,347.1661731850562,347.5583101035911,1
93,346.85885076996976,346.60670465321505,1
94,346.5515283548834,345.6550992028389,1
95,346.2442059397969,344.70349375246286,1
96,345.93688352471054,343.7518883020868,1
97,345.6295611096241,342.80028285171073,1
98,345.3222386945377,341.84867740133467,1
99,345.01491627945126,340.89707195095855,1
100,344.70759386436487,339.9454665005825,0
101,344.4002714492784,338.9938610502064,0
102,344.09294903419203,338.04225559983036,0
103,343.7856266191056,337.0906501494543,0
104,343.4783042040192,336.1390446990782,0
105,343.17098178893275,335.1874392487021,0
106,342.86365937384636,334.23583379832604,0
