GPSX,GPSY
40.710007261441326,-73.99889636293122
40.71002354738436,-73.99882943585986
40.7100398333274,-73.99876250878849
40.71004707060742,-73.99873276719138
40.71005082762005,-73.99871961944466
40.71005555759376,-73.99870703380525
40.71006121326821,-73.99869513602468
40.71006773813378,-73.99868404498166
40.71007506699616,-73.9986738714942
40.71008312662779,-73.99866471721246
40.71009183649949,-73.99865667360298
40.710101109585096,-73.99864982103483
40.710110853231015,-73.99864422797663
40.710120970081945,-73.99863995031237
40.71013135905366,-73.99863703078303
40.71014191634299,-73.99863549855961
40.710152536464996,-73.99863536895155
40.71016311330692,-73.99863664325389
40.71017354118845,-73.9986393087342
40.71018371591765,-73.99864333875988
40.71019353583199,-73.99864869306425
40.710202902814125,-73.99865531814886
40.71021172327227,-73.99866314781808
40.71021990907533,-73.99867210384043
40.710227378433444,-73.99868209673029
40.71023405671528,-73.998693026642
40.71023987719364,-73.99870478436752
40.71024478185145,-73.99871725234276
40.7102489657091,-73.99873017417057
40.71025218970582,-73.99874356750519
40.71025438734087,-73.99875731992356
40.710255677172455,-73.99878340225503
40.710239391229415,-73.99885032932639
40.710223105286374,-73.99891725639775
40.710206819343334,-73.99898418346912
40.710190533400294,-73.99905111054048
40.71017424745725,-73.99911803761184
40.71015796151421,-73.99918496468321
40.71014167557117,-73.99925189175457
40.71012538962813,-73.99931881882593
40.71010910368509,-73.9993857458973
40.71009281774205,-73.99945267296866
40.71007653179901,-73.99951960004002
40.71006024585598,-73.99958652711138
40.71004395991294,-73.99965345418275
40.7100276739699,-73.99972038125411
40.71001138802686,-73.99978730832547
40.709995102083816,-73.99985423539684
40.709978816140776,-73.9999211624682
40.709962530197735,-73.99998808953956
40.709946244254695,-74.00005501661093
40.709929958311655,-74.00012194368229
40.709913672368614,-74.00018887075365
40.709897386425574,-74.00025579782502
40.709881100482534,-74.00032272489638
40.70986481453949,-74.00038965196774
40.70984852859645,-74.0004565790391
40.70983224265341,-74.00052350611047
40.70981595671038,-74.00059043318183
40.70979967076734,-74.00065736025319
40.70979313017869,-74.0006842387976
40.70978986491056,-74.00069762076315
40.7097865996099,-74.0007110027148
40.70978333430924,-74.00072438466644
40.70978006900858,-74.00073776661809
40.709776803707925,-74.00075114856973
40.70977353840726,-74.00076453052138
40.7097702731066,-74.00077791247303
40.709767007805944,-74.00079129442467
40.70976374250528,-74.00080467637632
40.70976047720462,-74.00081805832795
40.70975721190396,-74.0008314402796
40.7097539466033,-74.00084482223124
40.70975068130264,-74.00085820418289
40.70974741600198,-74.00087158613454
40.70974415070132,-74.00088496808618
40.709740885400656,-74.00089835003783
40.7097376201,-74.00091173198948
40.70973435479934,-74.00092511394112
40.709731089498675,-74.00093849589277
40.70972782419802,-74.00095187784441
40.709724558897356,-74.00096525979606
40.709721293596694,-74.00097864174771
40.70971802829604,-74.00099202369935
40.709714762995375,-74.001005405651
40.70971149769471,-74.00101878760265
40.70970823239406,-74.00103216955429
40.709704967093394,-74.00104555150594
40.70970170179273,-74.00105893345759
40.709698436492076,-74.00107231540923
40.70969517119141,-74.00108569736088
40.70969190589075,-74.00109907931252
40.709688640590095,-74.00111246126417
40.70968537528943,-74.00112584321582
40.709682109988776,-74.00113922516746
40.70967884468811,-74.00115260711911
40.70967557938745,-74.00116598907076
40.709672314086795,-74.0011793710224
40.70966904878613,-74.00119275297405
40.70966578348547,-74.0012061349257
40.709662518184814,-74.00121951687734
40.70965925288415,-74.00123289882899
40.70965598758349,-74.00124628078063
40.70965272228283,-74.00125966273227
40.70964945698217,-74.00127304468391
40.70964619168151,-74.00128642663556
40.70964292638085,-74.0012998085872
40.70963966108019,-74.00131319053885
40.709636395779526,-74.0013265724905
40.70963313047887,-74.00133995444214
40.70962986517821,-74.00135333639379
40.709626599877545,-74.00136671834544
40.70962333457689,-74.00138010029708
40.70962006927623,-74.00139348224873
40.709616803975564,-74.00140686420038
40.70961353867491,-74.00142024615202
40.709610273374246,-74.00143362810367
40.70960700807358,-74.00144701005532
40.70960374277293,-74.00146039200696
40.709600477472264,-74.00147377395861
40.70959721217161,-74.00148715591025
40.709593946870946,-74.0015005378619
40.70959068157028,-74.00151391981355
40.70958741626963,-74.0015273017652
40.709584150968965,-74.00154068371684
40.7095808856683,-74.00155406566849
40.70957762036765,-74.00156744762013
40.709574355066984,-74.00158082957178
40.70957108976632,-74.00159421152343
40.709567824465665,-74.00160759347507
40.709564559165,-74.00162097542672
40.70956129386434,-74.00163435737836
40.709558028563684,-74.00164773933001
40.70955476326302,-74.00166112128166
40.70955149796236,-74.0016745032333
40.7095482326617,-74.00168788518494
40.70954496736104,-74.00170126713658
40.70954170206038,-74.00171464908823
40.70953843675972,-74.00172803103987
40.70953517145906,-74.00174141299152
40.7095319061584,-74.00175479494317
40.70952864085774,-74.00176817689481
40.70952537555708,-74.00178155884646
40.709522110256415,-74.0017949407981
40.70951884495576,-74.00180832274975
40.7095155796551,-74.0018217047014
40.709512314354434,-74.00183508665305
40.70950904905378,-74.00184846860469
40.709505783753116,-74.00186185055634
40.70950251845246,-74.00187523250798
40.7094992531518,-74.00188861445963
40.709495987851135,-74.00190199641128
40.70949272255048,-74.00191537836292
40.709489457249816,-74.00192876031457
40.70948619194915,-74.00194214226622
40.7094829266485,-74.00195552421786
40.709479661347835,-74.00196890616951
40.70947639604717,-74.00198228812116
40.70947313074652,-74.0019956700728
40.709469865445854,-74.00200905202445
40.70946660014519,-74.0020224339761
40.709463334844536,-74.00203581592774
40.70946006954387,-74.00204919787939
40.70945680424321,-74.00206257983103
40.709453538942554,-74.00207596178268
40.70945027364189,-74.00208934373433
40.70944700834123,-74.00210272568597
40.70944374304057,-74.00211610763762
40.70944047773991,-74.00212948958925
40.70943721243925,-74.0021428715409
40.70943394713859,-74.00215625349254
40.70943068183793,-74.00216963544419
40.70942741653727,-74.00218301739584
40.70942415123661,-74.00219639934748
40.70942088593595,-74.00220978129913
40.70941762063529,-74.00222316325078
40.70941435533463,-74.00223654520242
