                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4365,                 4.2654,                 2.5279,                 1.6631,                0.01833,                      1,                0.52702,                0.25331,                0.01833,                      1,                0.62262,                0.31391,                 1.1763,                 3.3537,                  2.474,                 1.5196,                 0.0003,                 0.0003,                 0.0003
                      2,                0.93602,                 2.2236,                 1.4163,                 1.2649,                0.70789,                0.36364,                0.62141,                0.25301,                0.71759,                0.36364,                0.47047,                0.27407,                 1.5468,                  4.041,                 2.5273,                 1.8933,             0.00060772,             0.00060772,             0.00060772
                      3,                0.89993,                 2.1105,                 1.2569,                 1.2374,                0.52586,                0.63636,                0.66794,                0.41014,                 0.4666,                0.63619,                0.44541,                0.20115,                 1.2843,                 4.8059,                 1.9238,                  1.833,             0.00090278,             0.00090278,             0.00090278
                      4,                 0.8613,                 2.1373,                 1.2009,                 1.2162,                0.70646,                0.72727,                0.69634,                0.40248,                0.70646,                0.72727,                0.70001,                0.35119,                 1.4562,                 2.7889,                  1.781,                   1.84,              0.0011852,              0.0011852,              0.0011852
                      5,                 0.8429,                 2.0084,                 1.1548,                 1.1979,                0.62373,                0.81818,                0.69916,                0.46246,                0.74293,                0.81818,                 0.8508,                0.33014,                 1.1786,                 3.5391,                 1.6608,                 1.5156,              0.0014549,              0.0014549,              0.0014549
                      6,                 0.8168,                 1.9982,                 1.1148,                  1.173,                0.50719,                0.72727,                0.65967,                0.34037,                0.69871,                0.63636,                0.64811,                0.40108,                 1.4397,                 3.5221,                 1.6742,                 1.9771,              0.0017119,              0.0017119,              0.0017119
                      7,                0.85936,                 2.0271,                 1.1367,                 1.1951,                0.71004,                0.89154,                0.88286,                0.48023,                0.63944,                0.80687,                0.66298,                0.34174,                 1.2205,                 5.2138,                 1.5371,                 1.7171,              0.0017624,              0.0017624,              0.0017624
                      8,                0.83982,                 2.0753,                 1.1046,                 1.1861,                0.47481,                0.72727,                0.56602,                0.30368,                 0.7785,                0.45455,                 0.6234,                0.30575,                 1.3225,                 2.8721,                  1.828,                 1.9295,              0.0017624,              0.0017624,              0.0017624
                      9,                0.83258,                 1.9401,                 1.0771,                 1.1925,                0.70596,                0.90909,                0.80639,                0.55593,                0.82621,                0.86634,                0.91211,                0.53894,                 1.1189,                 2.6009,                 1.2166,                 1.3992,              0.0017228,              0.0017228,              0.0017228
                     10,                0.80716,                 1.9051,                 1.0388,                 1.1533,                 0.8956,                0.78221,                0.92247,                0.67935,                 0.8956,                0.78221,                0.87848,                0.53453,                0.84682,                 3.7999,                 1.2704,                 1.3315,              0.0016832,              0.0016832,              0.0016832
                     11,                0.76899,                 1.8693,                 1.0093,                 1.1501,                0.71309,                0.67999,                0.81903,                0.55952,                0.71309,                0.67999,                0.78887,                0.59598,                0.97933,                 2.7615,                 1.3342,                 1.3513,              0.0016436,              0.0016436,              0.0016436
                     12,                0.75918,                  1.828,                0.98528,                 1.1319,                0.57827,                      1,                0.81429,                0.47899,                0.73045,                0.81818,                0.84902,                0.61686,                 1.2872,                 2.1754,                 1.1909,                 1.5754,               0.001604,               0.001604,               0.001604
                     13,                0.75022,                 1.8448,                0.97304,                 1.1238,                0.55065,                0.90909,                 0.6882,                0.44759,                0.76064,                0.90909,                0.84224,                0.51565,                 1.0603,                 2.0681,                 1.1631,                 1.3247,              0.0015644,              0.0015644,              0.0015644
                     14,                0.74134,                 1.7755,                0.95955,                 1.1162,                0.62196,                0.90909,                0.78172,                0.46614,                0.72668,                0.96824,                  0.884,                0.49253,                 1.0963,                 2.7358,                 1.1243,                 1.3348,              0.0015248,              0.0015248,              0.0015248
                     15,                0.71429,                 1.8022,                 0.9474,                 1.1123,                0.88375,                0.81818,                0.91524,                0.65022,                      1,                0.85082,                0.97571,                0.55932,                0.96456,                 2.8885,                0.86434,                 1.4072,              0.0014852,              0.0014852,              0.0014852
                     16,                0.75085,                 1.8359,                0.96659,                 1.1325,                 0.6457,                      1,                0.82971,                0.56895,                0.89823,                0.90909,                 0.8896,                0.61681,                0.90942,                 1.8388,                0.96519,                  1.285,              0.0014456,              0.0014456,              0.0014456
                     17,                0.70014,                 1.7561,                0.92304,                  1.105,                0.58808,                0.81818,                0.75926,                0.48879,                0.83269,                      1,                0.94843,                0.61531,                 1.0366,                 1.8825,                 1.2043,                  1.545,               0.001406,               0.001406,               0.001406
                     18,                 0.6888,                 1.7799,                0.92051,                 1.0917,                0.82372,                0.85142,                0.89424,                0.70685,                0.91363,                0.96359,                  0.935,                0.73435,                0.74021,                 1.7152,                0.82174,                 1.1916,              0.0013664,              0.0013664,              0.0013664
                     19,                0.70193,                 1.7433,                0.89828,                 1.0939,                0.64659,                0.99805,                0.85722,                0.65094,                0.68155,                      1,                0.87275,                0.68056,                0.83367,                 1.5982,                0.85871,                 1.2252,              0.0013268,              0.0013268,              0.0013268
                     20,                0.69504,                  1.739,                0.90538,                 1.0996,                0.95573,                0.72727,                 0.9106,                0.66751,                0.82326,                      1,                0.95346,                0.71583,                0.86334,                 1.5722,                0.95016,                 1.1841,              0.0012872,              0.0012872,              0.0012872
                     21,                  0.677,                 1.6909,                0.87847,                 1.0897,                0.82078,                0.90909,                0.87911,                0.72026,                0.98351,                      1,                  0.995,                0.73309,                0.73044,                 1.5631,                0.77082,                 1.1519,              0.0012476,              0.0012476,              0.0012476
                     22,                0.66921,                 1.7104,                0.87764,                 1.0804,                 0.7908,                0.81818,                0.86836,                0.55878,                0.87959,                0.90909,                0.95935,                0.66472,                 1.0277,                 2.2914,                 1.3542,                 1.5538,               0.001208,               0.001208,               0.001208
                     23,                0.66923,                 1.7026,                0.87323,                 1.0869,                0.68215,                0.90909,                0.76682,                0.58095,                0.75233,                      1,                0.87929,                0.66407,                0.85424,                 1.4207,                 1.1833,                 1.3286,              0.0011684,              0.0011684,              0.0011684
                     24,                0.66687,                 1.6178,                0.83419,                 1.0933,                0.81212,                0.78786,                0.82317,                0.60029,                0.88931,                      1,                 0.9725,                0.69696,                0.72714,                 1.6516,                 1.1346,                 1.2076,              0.0011288,              0.0011288,              0.0011288
                     25,                0.63296,                 1.6338,                0.82613,                 1.0644,                0.60769,                0.90909,                0.67054,                0.54443,                0.67215,                      1,                0.75875,                0.59628,                0.69816,                 1.3054,                 1.1642,                 1.1253,              0.0010892,              0.0010892,              0.0010892
                     26,                0.63786,                 1.6655,                0.83734,                 1.0729,                0.64512,                0.90909,                0.81387,                 0.6084,                0.89282,                0.75941,                0.90136,                0.70514,                0.71075,                 1.5758,                 1.1155,                 1.1454,              0.0010496,              0.0010496,              0.0010496
                     27,                0.64731,                 1.6236,                 0.8169,                 1.0694,                 0.7683,                0.90468,                  0.839,                0.60956,                0.90636,                0.90909,                0.96687,                0.71147,                0.86235,                 1.5561,                0.94851,                  1.212,                0.00101,                0.00101,                0.00101
                     28,                 0.6419,                 1.6659,                0.82775,                 1.0647,                0.78537,                0.99812,                0.88006,                0.58425,                0.78537,                0.99812,                0.88571,                0.72046,                0.84092,                 1.3881,                 1.0614,                 1.3016,              0.0009704,              0.0009704,              0.0009704
