                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4351,                 4.2639,                 2.5289,                 1.6625,                0.01667,                      1,                0.73615,                0.23195,                0.01667,                      1,                0.73615,                0.35305,                 1.0046,                 3.3371,                 2.6002,                  1.493,                 0.0003,                 0.0003,                 0.0003
                      2,                0.93603,                 2.2174,                 1.4128,                 1.2618,                0.78658,                0.74633,                0.70948,                0.27996,                0.77562,                    0.6,                0.78948,                0.36444,                 1.8129,                 2.4848,                 2.2279,                 2.5652,             0.00061386,             0.00061386,             0.00061386
                      3,                0.89221,                 2.1386,                 1.2561,                 1.2288,                0.95995,                    0.6,                 0.8204,                0.40219,                0.53938,                      1,                0.67373,                0.33755,                 1.1438,                 7.3362,                 2.2537,                 1.7206,             0.00092139,             0.00092139,             0.00092139
                      4,                0.86383,                 2.1441,                 1.2077,                 1.2073,                0.93025,                    0.4,                0.51239,                0.31931,                0.45125,                    0.2,                0.12515,                 0.0343,                 1.8405,                 5.8244,                  2.156,                  2.105,              0.0012226,              0.0012226,              0.0012226
                      5,                0.85535,                 2.0237,                 1.1698,                 1.1966,                0.88117,                    0.4,                0.52779,                0.34156,                0.49221,                    0.2,                0.26504,                0.19787,                 1.3057,                 7.3609,                 2.0587,                  1.504,              0.0015174,              0.0015174,              0.0015174
                      6,                0.82962,                 2.0537,                 1.1332,                 1.1714,                0.92896,                    0.8,                0.93786,                0.60639,                 0.7874,                    0.8,                 0.7164,                0.44664,                 1.3383,                 4.5756,                  1.247,                 1.7764,               0.001806,               0.001806,               0.001806
                      7,                0.86438,                  2.029,                 1.1383,                 1.1952,                0.56348,                    0.8,                0.68716,                0.30549,                0.56348,                    0.8,                0.71924,                0.32486,                 1.8225,                 3.0957,                 1.5806,                 2.4426,              0.0018812,              0.0018812,              0.0018812
                      8,                0.83997,                  2.062,                  1.096,                 1.1783,                0.93703,                    0.6,                  0.795,                0.48553,                0.93703,                    0.6,                0.80929,                0.38423,                  1.105,                 3.3129,                 1.6113,                 1.5881,              0.0018812,              0.0018812,              0.0018812
                      9,                0.82199,                 1.9479,                 1.0738,                 1.1862,                      1,                 0.5991,                0.78621,                0.44919,                      1,                 0.5991,                0.78621,                0.50414,                 1.3677,                 2.9429,                 1.2189,                 1.8021,              0.0018614,              0.0018614,              0.0018614
                     10,                0.81528,                 1.9191,                 1.0446,                 1.1585,                0.35611,                    0.6,                0.44838,                0.24285,                0.88953,                    0.2,                0.19635,                0.11781,                 2.0428,                 8.5398,                 1.8567,                 2.3793,              0.0018416,              0.0018416,              0.0018416
                     11,                0.78101,                 1.8876,                 1.0184,                 1.1551,                0.93592,                    0.8,                0.81628,                0.57892,                0.93592,                    0.8,                  0.835,                0.48141,                 1.1452,                  3.107,                 1.3264,                 1.4751,              0.0018218,              0.0018218,              0.0018218
                     12,                0.77961,                 1.8436,                0.99132,                 1.1493,                0.90073,                      1,                  0.995,                0.64855,                0.90073,                      1,                  0.995,                0.40079,                 1.0633,                 2.8493,                 1.2788,                 1.4072,               0.001802,               0.001802,               0.001802
                     13,                0.76257,                 1.8657,                 0.9823,                 1.1317,                      1,                 0.9362,                  0.995,                0.68425,                      1,                 0.9362,                  0.995,                0.47163,                0.93102,                 2.9026,                 1.1911,                  1.368,              0.0017822,              0.0017822,              0.0017822
